31076;Cizur;Total;2019;3.888;42.7608402524613;-1.7158618095
31077;Corella;Total;2019;7.971;42.1042956707029;-1.7922454984
31078;Cortes;Total;2019;3.151;41.9394621853543;-1.4396061688
31079;Desojo;Total;2019;79;42.5891303942397;-2.2676605842
31080;Dicastillo;Total;2019;604;42.5679352995479;-2.0353502050
31081;Donamaria;Total;2019;433;43.0859185663805;-1.6619840121
31221;Doneztebe/Santesteban;Total;2019;1.726;43.1350342978141;-1.6703066563
31083;Echarri/Etxarri	;Total;2019;75;42.7811447581895;-1.8281576826
31087;Elgorriaga;Total;2019;220;43.1353255687867;-1.6912061948
31089;Enériz/Eneritz;Total;2019;286;42.663077127401;-1.74387370474
31090;Eratsun;Total;2019;151;43.1090810508851;-1.8099940925
31091;Ergoiena;Total;2019;372;42.9080987264272;-2.0299650628
31092;Erro;Total;2019;800;42.969670618738;-1.41814357320
31094;Eslava;Total;2019;111;42.5707626001784;-1.4655257125
31095;Esparza de Salazar/Espartza Zaraitzu;Total;2019;74;42.8608733759922;-1.0898876301
31096;Espronceda;Total;2019;104;42.5949333815804;-2.2998406378
31097;Estella-Lizarra;Total;2019;13.810;42.66252386968;-2.025192013928
31098;Esteribar;Total;2019;2.702;42.9547198519587;-1.5328397241
31099;Etayo;Total;2019;58;42.6135317560156;-2.1754371515
31082;Etxalar;Total;2019;813;43.2434754188682;-1.6333844342
31084;Etxarri Aranatz;Total;2019;2.483;42.932447463171;-2.07572786674
31085;Etxauri;Total;2019;650;42.7970147054231;-1.7985355974
31100;Eulate;Total;2019;284;42.7662983298123;-2.2052752734
31101;Ezcabarte;Total;2019;1.805;42.8772917593458;-1.6353313678
31093;Ezcároz/Ezkaroze;Total;2019;306;42.9015739564372;-1.0617283839
31102;Ezkurra;Total;2019;146;43.1099567524908;-1.8396207658
31103;Ezprogui;Total;2019;43;42.597071937168;-1.44356149721
31104;Falces;Total;2019;2.315;42.4234962711155;-1.7999301851
31105;Fitero;Total;2019;2.011;42.0407520517255;-1.8547520201
31106;Fontellas;Total;2019;996;42.013996169752;-1.56839256897
31107;Funes;Total;2019;2.440;42.2914668800767;-1.7911950425
31108;Fustiñana;Total;2019;2.490;42.0217266765017;-1.4547643081
31109;Galar;Total;2019;2.273;42.7565135654131;-1.6683436266
31110;Gallipienzo/Galipentzu;Total;2019;98;42.5038240610032;-1.4139158275
31111;Gallués/Galoze;Total;2019;93;42.7933481133777;-1.0956646215
31112;Garaioa;Total;2019;91;42.9210507331701;-1.2423085246
31113;Garde;Total;2019;139;42.7802271526987;-0.8896010431
31114;Garínoain;Total;2019;499;42.5959562300986;-1.6655310445
31115;Garralda;Total;2019;190;42.9564812866601;-1.3028337822
31116;Genevilla;Total;2019;70;42.6478938055517;-2.3945746613
31117;Goizueta;Total;2019;704;43.1948592595228;-1.8492325546
31118;Goñi;Total;2019;158;42.8339203042017;-1.8879571950
31119;Güesa/Gorza;Total;2019;38;42.817991;-1.644215
31120;Guesálaz/Gesalatz;Total;2019;432;42.7639160830115;-1.9142848549
31121;Guirguillano;Total;2019;78;42.7209190329206;-1.8597625038
31256;Hiriberri/Villanueva de Aezkoa;Total;2019;102;42.9503127504617;-1.1973264270
31122;Huarte/Uharte;Total;2019;7.101;42.8288283458745;-1.5943938507
